 Date, Team, Acquired, Relinquished, Notes
2007-01-03, Warriors, , • Monta Ellis, bruised right shoulder (DNP)
2007-01-05, Bucks, , • Charlie Villanueva, right shoulder injury (DTD)
2007-01-05, Clippers, • Cuttino Mobley, , returned to lineup
2007-01-05, Hawks, , • Tyronn Lue, strained groin (DNP)
2007-01-05, Heat, , • Dwyane Wade, sprained right wrist (DNP)
2007-01-05, Heat, , • Pat Riley, head coach had arthroscopic surgery on right knee to remove floating chips / loose cartilage
2007-01-05, Heat, , • Wayne Simien, salmonella (DNP)
2007-01-05, Raptors, , • Jorge Garbajosa, strained right calf (DNP)
2007-01-06, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2007-01-06, Nuggets, , • Marcus Camby, sprained right wrist (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-01-06, Pistons, , • Dale Davis, illness (DTD)
2007-01-06, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-06, Warriors, , • Jason Richardson, broken right finger (DNP)
2007-01-06, Warriors, , • Keith McLeod, strained abdominal muscle (DNP)
2007-01-07, Heat, , • Wayne Simien, salmonella (DNP)
2007-01-07, Warriors, , • Jason Richardson, broken bone in right hand (DNP)
2007-01-08, Bucks, , • Michael Redd, strained left knee (out 4-6 weeks)
2007-01-08, Bucks, , • Michael Redd, strained left knee (DNP)
2007-01-08, Hornets, , • Bobby Jackson, cracked left rib (DNP)
2007-01-09, Pistons, • Dale Davis, , returned to lineup
2007-01-09, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-10, Bucks, , • Maurice Williams / Mo Williams, sprained left shoulder (out 2-3 weeks)
2007-01-10, Bucks, , • Maurice Williams / Mo Williams, sprained left shoulder (DNP)
2007-01-10, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
2007-01-10, Celtics, , • Delonte West, bruised lower back (DNP)
2007-01-10, Heat, , • Wayne Simien, salmonella (DNP)
2007-01-10, Hornets, , • Bobby Jackson, cracked ribs (DNP)
2007-01-10, Nets, , Nenad Krstic, surgery on left knee to repair torn ACL
2007-01-10, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-10, Warriors, , • Jason Richardson, broken right finger (DNP)
2007-01-10, Warriors, , • Keith McLeod, strained abdominal muscle (DNP)
2007-01-11, Celtics, , • Tony Allen, torn ACL in left knee (out for season)
2007-01-11, Magic, , • Trevor Ariza, right knee injury (DTD)
2007-01-12, Blazers, , • Jarrett Jack, concussion (sufferered in car accident) (DNP)
2007-01-12, Bucks, , • Michael Redd, strained patellar tendon in left knee (DNP)
 Date, Team, Acquired, Relinquished, Notes
2007-01-12, Celtics, , • Delonte West, bruised lower back (DNP)
2007-01-12, Celtics, , • Wally Szczerbiak, sprained right ankle (DNP)
2007-01-12, Celtics, , Brian Scalabrine, bruised right knee (DNP)
2007-01-12, Heat, , • Pat Riley, head coach had surgery to replace left hip
2007-01-12, Hornets, , • Bobby Jackson, cracked ribs (DNP)
2007-01-12, Hornets, , • David West, right elbow synovitis (DNP)
2007-01-12, Sonics, , • Rashard Lewis, strained tendon in right hand (DNP)
2007-01-12, Warriors, , • Jason Richardson, broken bone in right hand (DNP)
2007-01-12, Warriors, , • Keith McLeod, strained abdominal muscle (DNP)
2007-01-13, Bucks, , • Bobby Simmons, surgery on right foot to remove cyst from heel and to repair plantar fasciitis (out for season)
2007-01-13, Celtics, , • Delonte West, bruised lower back (DNP)
